114057,15/12/1995,Othello,Oliver Parker,Laurence Fishburne,Irène Jacob,Kenneth Branagh,Nathaniel Parker,Michael Maloney,Anna Patrick,Nicholas Farrell,Indra Ové,Michael Sheen,André Oumansky,Laurence Fishburne,Irène Jacob,Kenneth Branagh,Nathaniel Parker,Michael Maloney,Anna Patrick,Nicholas Farrell,Indra Ové,Michael Sheen,André Oumansky
114011,20/10/1995,Now and Then,Lesli Linka Glatter,Christina Ricci,Rosie O'Donnell,Thora Birch,Melanie Griffith,Gaby Hoffmann,Demi Moore,Ashleigh Aston Moore,Rita Wilson,Devon Sawa,Walter Sparrow,Christina Ricci,Rosie O'Donnell,Thora Birch,Melanie Griffith,Gaby Hoffmann,Demi Moore,Ashleigh Aston Moore,Rita Wilson,Devon Sawa,Walter Sparrow
114117,27/09/1995,Persuasion,Roger Michell,Amanda Root,Ciarán Hinds,Susan Fleetwood,Corin Redgrave,Fiona Shaw,John Woodvine,Phoebe Nicholls,Samuel West,Sophie Thompson,Judy Cornwell,Amanda Root,Ciarán Hinds,Susan Fleetwood,Corin Redgrave,Fiona Shaw,John Woodvine,Phoebe Nicholls,Samuel West,Sophie Thompson,Judy Cornwell
112682,16/05/1995,The City of Lost Children,Marc Caro,Ron Perlman,Daniel Emilfork,Judith Vittet,Dominique Pinon,Jean-Claude Dreyfus,Geneviève Brunet,Odile Mallet,Mireille Mossé,Serge Merlin,Rufus,Ron Perlman,Daniel Emilfork,Judith Vittet,Dominique Pinon,Jean-Claude Dreyfus,Geneviève Brunet,Odile Mallet,Mireille Mossé,Serge Merlin,Rufus
115012,30/04/1995,Shanghai Triad,Yimou Zhang,Li Gong,Baotian Li,Xiaoxiao Wang,Xuejian Li,Chun Sun,Biao Fu,Shu Chen,Jiang Liu,Baoying Jiang,Qianquan Yang,Li Gong,Baotian Li,Xiaoxiao Wang,Xuejian Li,Chun Sun,Biao Fu,Shu Chen,Jiang Liu,Baoying Jiang,Qianquan Yang
112792,11/08/1995,Dangerous Minds,John N. Smith,Michelle Pfeiffer,George Dzundza,Courtney B. Vance,Robin Bartlett,Beatrice Winde,John Neville,Lorraine Toussaint,Renoly Santiago,Wade Dominguez,Bruklin Harris,Michelle Pfeiffer,George Dzundza,Courtney B. Vance,Robin Bartlett,Beatrice Winde,John Neville,Lorraine Toussaint,Renoly Santiago,Wade Dominguez,Bruklin Harris
114746,29/12/1995,Twelve Monkeys,Terry Gilliam,Joseph Melito,Bruce Willis,Jon Seda,Michael Chance,Vernon Campbell,H. Michael Walls,Bob Adrian,Simon Jones,Carol Florence,Bill Raymond,Joseph Melito,Bruce Willis,Jon Seda,Michael Chance,Vernon Campbell,H. Michael Walls,Bob Adrian,Simon Jones,Carol Florence,Bill Raymond
114952,18/09/1996,Wings of Courage,Jean-Jacques Annaud,Craig Sheffer,Tom Hulce,Elizabeth McGovern,Val Kilmer,Ken Pogue,Ron Sauvé,Freddy Andreiuci,Victor Formosa,Balinder Johal,Molly Parker,Craig Sheffer,Tom Hulce,Elizabeth McGovern,Val Kilmer,Ken Pogue,Ron Sauvé,Freddy Andreiuci,Victor Formosa,Balinder Johal,Molly Parker
112431,18/07/1995,Babe,Chris Noonan,Christine Cavanaugh,Miriam Margolyes,Danny Mann,Hugo Weaving,Miriam Flynn,Russi Taylor,Evelyn Krape,Michael Edward-Stevens,Charles Bartlett,Paul Livingston,Christine Cavanaugh,Miriam Margolyes,Danny Mann,Hugo Weaving,Miriam Flynn,Russi Taylor,Evelyn Krape,Michael Edward-Stevens,Charles Bartlett,Paul Livingston
112637,08/11/1995,Carrington,Christopher Hampton,Emma Thompson,Jonathan Pryce,Steven Waddington,Samuel West,Rufus Sewell,Penelope Wilton,Janet McTeer,Peter Blythe,Jeremy Northam,Alex Kingston,Emma Thompson,Jonathan Pryce,Steven Waddington,Samuel West,Rufus Sewell,Penelope Wilton,Janet McTeer,Peter Blythe,Jeremy Northam,Alex Kingston
112818,29/12/1995,Dead Man Walking,Tim Robbins,Susan Sarandon,Sean Penn,Robert Prosky,Raymond J. Barry,R. Lee Ermey,Celia Weston,Lois Smith,Scott Wilson,Roberta Maxwell,Margo Martindale,Susan Sarandon,Sean Penn,Robert Prosky,Raymond J. Barry,R. Lee Ermey,Celia Weston,Lois Smith,Scott Wilson,Roberta Maxwell,Margo Martindale
112286,20/10/1995,Across the Sea of Time,Stephen Low,Peter Reznick,John McDonough,Avi Hoffman,Victor Steinbach,Peter Boyden,Philip Levy,Nick Muglia,Abby Lewis,Matt Malloy,Luigi Petrozza,Peter Reznick,John McDonough,Avi Hoffman,Victor Steinbach,Peter Boyden,Philip Levy,Nick Muglia,Abby Lewis,Matt Malloy,Luigi Petrozza
113442,17/11/1995,It Takes Two,Andy Tennant,Kirstie Alley,Steve Guttenberg,Mary-Kate Olsen,Ashley Olsen,Philip Bosco,Jane Sibbett,Michelle Grisom,Desmond Robertson,Tiny Mills,Shanelle Henry,Kirstie Alley,Steve Guttenberg,Mary-Kate Olsen,Ashley Olsen,Philip Bosco,Jane Sibbett,Michelle Grisom,Desmond Robertson,Tiny Mills,Shanelle Henry
112697,19/07/1995,Clueless,Amy Heckerling,Alicia Silverstone,Stacey Dash,Brittany Murphy,Paul Rudd,Donald Faison,Elisa Donovan,Breckin Meyer,Jeremy Sisto,Dan Hedaya,Aida Linares,Alicia Silverstone,Stacey Dash,Brittany Murphy,Paul Rudd,Donald Faison,Elisa Donovan,Breckin Meyer,Jeremy Sisto,Dan Hedaya,Aida Linares
